業務種別,許可番号,名称,所在地,開設者氏名,有効期間
店舗販売,285,マルセイドラッグ株式会社保田窪店,熊本市中央区保田窪1丁目2番51号,マルセイドラッグ株式会社,令和5年12月19日～令和11年12月18日
店舗販売,286,サンリーブドラッグ,熊本市中央区手取本町3-12,山田　俊也,令和5年12月22日～令和11年12月21日
店舗販売,289,HIヒロセ渡鹿店,熊本市中央区渡鹿1丁目18番1号,株式会社　ホームインプルーブメントひろせ,令和6年1月17日～令和12年1月16日
店舗販売,290,ロッキー島崎店,熊本市西区島崎2丁目16-33,株式会社　ロッキー,令和6年1月19日～令和12年1月18日
店舗販売,291,ドラッグ新生堂尾ノ上店,熊本市東区尾ノ上2丁目3-28,株式会社新生堂薬局,令和6年2月9日～令和12年2月8日
店舗販売,292,くすりのキュート　植木店,熊本市北区植木町豊田587-1,有限会社　キューピー,令和6年2月24日～令和12年2月23日
店舗販売,295,ドラッグストアマツモトキヨシ　イオンタウン西熊本店,熊本市南区島町3丁目1番1号,株式会社マツモトキヨシ九州販売,令和6年4月1日～令和12年3月31日
店舗販売,299,託麻薬房,熊本市東区八反田3丁目15番11号,永田　邦子,令和6年3月23日～令和12年3月22日
店舗販売,301,白十慈薬品,熊本市中央区新町4丁目2番7号,有限会社　貴美屋,令和6年4月2日～令和12年4月1日
店舗販売,303,ウィルドラッグ,熊本市東区花立2丁目4-7,有限会社ウィルドラッグ,令和6年4月5日～令和12年4月4日
店舗販売,306,スーパーキッド楠店,熊本市北区楠７-８-１０,株式会社　アレス,令和6年5月9日～令和12年5月8日
店舗販売,310,ドラッグイレブン上通り店,熊本市中央区上通町6-22,株式会社ドラッグイレブン,令和6年5月15日～令和12年5月14日
店舗販売,311,鶴屋百貨店薬品部,熊本市中央区手取本町6番1号鶴屋百貨店地階,株式会社　同仁堂,令和6年5月18日～令和12年5月17日
店舗販売,314,ドラッグストアモリ　戸島店,熊本市東区戸島西1丁目29番3号,有限会社　もり薬品,令和6年5月18日～令和12年5月17日
店舗販売,315,ドラッグストアモリ　帯山店,熊本市中央区帯山7丁目19番45号,有限会社　ドラッグストアモリサポート,令和6年5月18日～令和12年5月17日
店舗販売,320,ドラッグストアモリ植木店,熊本市北区植木町一木150番1,株式会社ディーエスエム,令和6年5月22日～令和12年5月21日
店舗販売,327,坂口薬店,熊本市南区鳶町2-6-1,有限会社　坂口薬品,令和6年5月24日～令和12年5月23日
店舗販売,329,フルショウ薬品,熊本市中央区東子飼町8-44,有限会社エンタープライズ・フルショウ,令和6年5月25日～令和12年5月24日
店舗販売,337,スーパーキッド南高江店,熊本市南区南高江2-12-36,株式会社　アレス,平成30年9月19日～令和6年9月18日
店舗販売,338,スーパーキッド熊本国府店,熊本市中央区国府3丁目28-31,株式会社　アレス,平成30年9月19日～令和6年9月18日
店舗販売,339,スーパーキッド小峯店,熊本市東区小峯2丁目6-56,株式会社　アレス,平成30年9月19日～令和6年9月18日
店舗販売,340,スーパーキッド託麻店,熊本市東区長嶺東6-30-20,株式会社　アレス,平成30年9月19日～令和6年9月18日
店舗販売,341,ドラッグコスモス秋津店,熊本市東区沼山津1丁目20-1,株式会社コスモス薬品,平成30年10月18日～令和6年10月17日
店舗販売,345,有限会社　昇久堂,熊本市中央区水前寺５丁目26-27,有限会社　昇久堂,平成31年2月4日～令和7年2月3日
店舗販売,346,ダイレックス　室園店,熊本市北区室園町1番18号,ダイレックス株式会社,平成31年2月25日～令和7年2月24日
店舗販売,1037,ダイレックス九品寺店,熊本市中央区九品寺３丁目１６番５０号,ダイレックス株式会社,令和元年5月14日～令和7年5月13日
店舗販売,1038,ドラッグコスモス野中店,熊本市西区野中2丁目11-15,株式会社コスモス薬品,令和元年5月17日～令和7年5月16日
店舗販売,1039,スーパーキッド野中店,熊本市西区野中3-4-22,株式会社　アレス,令和元年5月17日～令和7年5月16日
店舗販売,1053,サンドラッグ南熊本店,熊本市中央区南熊本3-5-1,株式会社サンドラッグ,令和元年5月23日～令和7年5月22日
店舗販売,1057,ドラッグコスモス下硯川店,熊本市北区下硯川2丁目7-88,株式会社コスモス薬品,令和元年7月5日～令和7年7月4日
店舗販売,1070,スーパーキッド熊本駅前店,熊本市西区春日二丁目１０－２４,株式会社　アレス,令和元年10月4日～令和7年10月3日
店舗販売,1072,ダイレックス　熊本店,熊本市東区長嶺南4-1-116,ダイレックス株式会社,令和元年11月1日～令和7年10月31日
店舗販売,1075,ドラッグコスモス近見店,熊本市南区近見7丁目6-1,株式会社コスモス薬品,令和元年12月4日～令和7年12月3日
店舗販売,1076,ゆめドラッグ　田崎店,熊本市西区田崎二丁目5番1,株式会社イズミ,令和元年12月5日～令和7年12月4日
店舗販売,1089,くすりの薬師堂,熊本市中央区九品寺4丁目1-23 1F,堀　千絵,令和2年3月17日～令和8年3月16日
店舗販売,1099,ドラッグ　セイムス　麻生田店,熊本市北区麻生田2丁目14番17号,株式会社　九州セイムス,令和2年6月1日～令和8年5月31日
店舗販売,1100,ココカラファイン上通店,熊本市中央区上通町6-15,株式会社　ココカラファイン　ヘルスケア,令和2年6月9日～令和8年6月8日
店舗販売,1101,ゆめドラッグ大江店,熊本市中央区大江三丁目2番40号,株式会社イズミ,令和2年6月12日～令和8年6月11日
店舗販売,1123,ドラッグコスモス島崎西店,熊本市西区島崎5丁目2-14,株式会社コスモス薬品,令和2年10月28日～令和8年10月27日
店舗販売,1124,ドラッグコスモス天明店,熊本市南区奥古閑町280,株式会社コスモス薬品,令和2年11月14日～令和8年11月13日
店舗販売,1131,ドラッグ新生堂　水前寺駅店,熊本市中央区水前寺1丁目4-1　1階,株式会社新生堂薬局,令和3年1月16日～令和9年1月15日
店舗販売,1135,ドラッグコスモス馬渡店,熊本市南区馬渡1丁目11-1,株式会社コスモス薬品,令和3年3月5日～令和9年3月4日
店舗販売,1593,ドラッグコスモス戸島西店,熊本市東区戸島西1丁目5-18,株式会社コスモス薬品,令和3年6月22日～令和9年6月21日
店舗販売,1625,ダイレックス　植木店,熊本市北区植木町植木418番地,ダイレックス株式会社,令和3年10月22日～令和9年10月21日
店舗販売,1642,サンドラッグ熊本上通店,熊本市中央区上通町１－１９大進第７ビル１階,株式会社サンドラッグ,令和3年12月21日～令和9年12月20日
店舗販売,1643,ドラッグコスモス武蔵ケ丘店,熊本市北区武蔵ケ丘6丁目4-3,株式会社コスモス薬品,令和3年12月21日～令和9年12月20日
店舗販売,1649,ローソン 熊本尾ノ上三丁目店,熊本市東区尾ノ上三丁目2番3号,古庄　直也,令和4年1月29日～令和10年1月28日
店舗販売,1655,drug store baba,熊本市東区江津2-6-17,株式会社アーズワース,令和4年2月19日～令和10年2月18日
店舗販売,1657,ドラッグコスモス島崎店,熊本市中央区島崎1丁目8-25,株式会社コスモス薬品,令和4年3月9日～令和10年3月8日
店舗販売,1680,ドラッグコスモス清水亀井店,熊本市北区清水亀井町20-14,株式会社コスモス薬品,令和4年5月26日～令和10年5月25日
店舗販売,1721,漢方上通薬品,熊本市中央区上林町1-30-1F,株式会社キャッスルメディカル,令和4年9月21日～令和10年9月20日
店舗販売,1730,ローソン熊本健軍町店,熊本市東区月出2丁目4-72,有限会社宮脇,令和4年11月9日～令和10年11月8日
店舗販売,1747,ダイレックス　八反田店,熊本市東区八反田2丁目12番7号,ダイレックス株式会社,令和5年2月6日～令和11年2月5日
店舗販売,1756,スーパーキッド新外店,熊本市東区尾ノ上4-11-12,株式会社アレス,令和5年3月16日～令和11年3月15日
店舗販売,1761,ドラッグストアマツモトキヨシ 楠店,熊本市北区楠3丁目10-22,株式会社　マツモトキヨシ九州販売,令和5年3月31日～令和11年3月30日
店舗販売,1764,ドラッグイレブン御領店,熊本市東区御領2丁目20番1号,株式会社ドラッグイレブン,令和5年4月5日～令和11年4月4日
店舗販売,1767,ドラッグコスモス八王寺店,熊本市中央区八王寺町2-13,株式会社コスモス薬品,令和5年5月9日～令和11年5月8日
店舗販売,1769,ドラッグコスモス大江店,熊本市中央区大江2丁目16-9,株式会社コスモス薬品,令和5年5月19日～令和11年5月18日
店舗販売,1780,九健,熊本市中央区手取本町6-1鶴屋百貨店地下2階,長迫　𠮷秀,令和5年6月19日～令和11年6月18日
店舗販売,1785,やまうち薬店,熊本市中央区新屋敷3丁目2-6真野ビル102,山内　靖友,令和5年6月30日～令和11年6月29日
店舗販売,1801,ミスターマックス熊本南店,熊本市南区十禅寺３－４－１４,株式会社ミスターマックス,令和5年8月21日～令和11年8月20日
店舗販売,1802,ミスターマックス熊本インター店,熊本市東区石原1丁目1番111号,株式会社ミスターマックス,令和5年8月24日～令和11年8月23日
店舗販売,1804,ココカラファイン　サンリブしみず店,熊本市北区麻生田三丁目1番1号,株式会社ココカラファインヘルスケア,令和5年8月24日～令和11年8月23日
店舗販売,1806,ミスターマックス熊本北店,熊本市北区津浦町31番20号,株式会社ミスターマックス,令和5年8月30日～令和11年8月29日
店舗販売,1810,ドラッグコスモス八反田店,熊本市東区西原1丁目22-64,株式会社コスモス薬品,令和5年10月24日～令和11年10月23日
店舗販売,1822,ユア　ファーマシー,熊本市北区植木町植木555番地ウエッキー内,有限会社ユアファーマシー,令和5年11月28日～令和11年11月27日
店舗販売,1827,同仁堂　上通店,熊本市中央区上通町２番７号,株式会社　同仁堂,令和5年12月27日～令和11年12月26日
店舗販売,1843,ドラッグイレブンＪＲ熊本駅店,熊本市西区春日3丁目15番30号,株式会社ドラッグイレブン,令和6年3月5日～令和12年3月4日
店舗販売,1848,西本真生堂　パディ店,熊本市西区城山半田1丁目2番25号,株式会社　西本真生堂,令和6年4月3日～令和12年4月2日
店舗販売,1870,スーパーキッド田井島店,熊本市南区田井島2丁目3番28号,株式会社アレス,平成30年7月2日～令和6年7月1日
店舗販売,1876,ドラッグセイムス熊本黒髪店,熊本市中央区黒髪六丁目11番11号,株式会社九州セイムス,平成30年8月21日～令和6年8月20日
店舗販売,1877,リリーフ和漢堂,熊本市北区龍田８丁目21番36号,有限会社ドラッグ中野,平成30年9月3日～令和6年9月2日
店舗販売,1882,ココカラファイン　下通店,熊本市中央区下通一丁目6番28号,株式会社ココカラファインヘルスケア,平成30年10月23日～令和6年10月22日
店舗販売,1889,ロッキー清水店,熊本市北区清水本町11-11,株式会社ロッキー,平成30年11月15日～令和6年11月14日
店舗販売,1890,ドン・キホーテ下通り店,熊本市中央区安政町5番27号,株式会社ドン・キホーテ,平成30年11月19日～令和6年11月18日
店舗販売,1899,ローソン熊本健軍三丁目店,熊本市東区健軍三丁目52-11,有限会社宮脇,平成31年1月15日～令和7年1月14日
店舗販売,1914,ドラッグセイムス熊本若葉店,熊本市東区若葉二丁目14番5号,株式会社九州セイムス,平成31年4月10日～令和7年4月9日
店舗販売,1930,ドラッグストア　マツモトキヨシ　サクラマチ熊本店,熊本市中央区桜町3番10号SAKURA MACHI Kumamoto1F,株式会社マツモトキヨシ九州販売,令和元年9月4日～令和7年9月3日
店舗販売,1934,シモカワさくらまち店,熊本市中央区桜町3番10号サクラマチクマモトB1,株式会社下川薬局,令和元年9月13日～令和7年9月12日
店舗販売,1942,ロッキー坪井店,熊本市中央区坪井5丁目1-47,株式会社　ロッキー,令和元年9月18日～令和7年9月17日
店舗販売,1946,ドラッグコスモス植木南店,熊本市北区植木町投刀塚321-9,株式会社コスモス薬品,令和元年10月8日～令和7年10月7日
店舗販売,1947,西化成産業株式会社,熊本市中央区新町2丁目3-24,西化成産業株式会社,令和元年10月16日～令和7年10月15日
店舗販売,1954,ドラッグストアモリ　徳王店,熊本市北区徳王二丁目8番50号,株式会社ドラッグストアモリ,令和元年11月7日～令和7年11月6日
店舗販売,1971,ドラッグコスモス東町小学校前店,熊本市東区東町3丁目5-25,株式会社コスモス薬品,令和2年1月14日～令和8年1月13日
店舗販売,1991,ドラッグコスモス下南部店,熊本市東区下南部3丁目4-56,株式会社コスモス薬品,令和2年4月6日～令和8年4月5日
店舗販売,2033,マックスバリュドラッグ田崎店,熊本市西区田崎町大字下寄380番地,イオン九州株式会社,令和2年9月1日～令和8年8月31日
店舗販売,2034,マックスバリュドラッグ内坪井店,熊本市中央区内坪井町1番83号,イオン九州株式会社,令和2年9月1日～令和8年8月31日
店舗販売,2036,Tecc LIFE SELECT 熊本春日店ドラッグ,熊本市西区春日七丁目25-30,株式会社ヤマダデンキ,令和2年10月1日～令和8年9月30日
店舗販売,2047,ロッキー植木店,熊本市北区植木町植木133番地の1,株式会社ロッキー,令和2年11月6日～令和8年11月5日
店舗販売,2050,ドラッグストア　マツモトキヨシ　サンリブシティくまなん店,熊本市中央区平成3丁目23-30１階,株式会社マツモトキヨシ九州販売,令和2年11月17日～令和8年11月16日
店舗販売,2052,株式会社お風呂のシンドー,熊本市北区龍田七丁目1番72号,株式会社お風呂のシンドー,令和2年11月24日～令和8年11月23日
店舗販売,2056,ドラッグ新生堂　イオンタウン田崎店,熊本市西区田崎町字下寄380,株式会社新生堂薬局,令和2年12月18日～令和8年12月17日
店舗販売,2058,くすりの和漢堂,熊本市東区若葉2-7-8,株式会社ＫＥＮ－ＯＮ,令和3年1月6日～令和9年1月5日
店舗販売,2060,良町漢方薬店,熊本市南区良町1丁目21-46,有限会社　ｴﾑ.ｹｲ.ﾃｨ.太田,令和3年1月18日～令和9年1月17日
店舗販売,2063,シモカワムサシ店,熊本市北区武蔵ケ丘3丁目14-8,株式会社下川薬局,令和3年2月1日～令和9年1月31日
店舗販売,2075,シモカワ田迎店,熊本市南区出仲間7丁目3-35,株式会社下川薬局,令和3年3月3日～令和9年3月2日
店舗販売,2079,ドラッグコスモス南高江店,熊本市南区南高江2丁目15-50,株式会社コスモス薬品,令和3年3月15日～令和9年3月14日
店舗販売,2082,ダイレックスムサシプラザ店,熊本市北区武蔵ケ丘5丁目12番1号,ダイレックス株式会社,令和3年3月16日～令和9年3月15日
店舗販売,2089,アインズ＆トルペ　アミュプラザくまもと店,熊本市西区春日3丁目15番26号アミュプラザくまもと4階,株式会社アインファーマシーズ,令和3年4月1日～令和9年3月31日
店舗販売,2096,ローソン熊本県庁店,熊本市中央区水前寺六丁目18-1,有限会社　宮脇,令和3年5月10日～令和9年5月9日
店舗販売,2099,ドラッグストア　マツモトキヨシ　熊本下通店,熊本市中央区下通2丁目2-31,株式会社マツモトキヨシ九州販売,令和3年5月25日～令和9年5月24日
店舗販売,2101,メガセンタートライアル上熊本店,熊本市西区上熊本三丁目8番1,株式会社トライアルストアーズ,令和3年6月7日～令和9年6月6日
店舗販売,2104,ドラッグコスモス健軍店,熊本市東区若葉2丁目1-7,株式会社コスモス薬品,令和3年6月18日～令和9年6月17日
店舗販売,2107,ドラッグコスモス飛田バイパス店,熊本市北区飛田4丁目8-1,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,2109,東武漢方薬店,熊本市北区龍田弓削2-7-362-7-36,今富　信仁,令和3年7月26日～令和9年7月25日
店舗販売,2128,ロッキー水前寺店,熊本市中央区水前寺2丁目4-15,株式会社ロッキー,令和3年9月29日～令和9年9月28日
店舗販売,2141,熊本県畜産農業協同組合連合会,熊本市東区桜木6丁目3番54号,熊本県畜産農業協同組合連合会,令和4年1月1日～令和9年12月31日
店舗販売,2153,ローソン熊本十禅寺二丁目店,熊本市南区十禅寺二丁目2番16号,有限会社宮脇,令和4年2月17日～令和10年2月16日
店舗販売,2156,ドラッグストアモリ田迎店,熊本市南区田迎二丁目11番25号,株式会社ドラッグストアモリ,令和4年3月11日～令和10年3月10日
店舗販売,2165,トライアルクイック清水店,熊本市北区清水町大字松崎46-1,株式会社トライアルストアーズ,令和4年4月1日～令和10年3月31日
店舗販売,2170,ウエルシア熊本麻生田店,熊本市北区麻生田二丁目4番10号,ウエルシア薬局株式会社,令和4年4月11日～令和10年4月10日
店舗販売,2184,えがお薬品　本店,熊本市東区東町4-10-1,株式会社えがお,令和4年7月21日～令和10年7月20日
店舗販売,2188,こすずめ漢方薬店,熊本市西区春日4丁目25-7,渡邉　大祐,令和4年9月1日～令和10年8月31日
店舗販売,2195,ドラッグコスモス田崎店,熊本市西区田崎2丁目1番7号,株式会社コスモス薬品,令和4年10月18日～令和10年10月17日
店舗販売,2200,ファミリーマート北熊本駐屯地店,熊本市北区八景水谷2丁目17-1　北熊本駐屯地内,有限会社プログレス,令和4年12月6日～令和10年12月5日
店舗販売,2201,有限会社　山本薬品,熊本市中央区帯山4丁目2-68,有限会社山本薬品,令和4年12月11日～令和10年12月10日
店舗販売,2206,アタックス戸島店,熊本市東区戸島西2丁目5-33,株式会社マルミヤストア,令和5年3月1日～令和11年2月28日
店舗販売,2207,アタックス城南店,熊本市南区城南町下宮地436-2,株式会社マルミヤストア,令和5年3月1日～令和11年2月28日
店舗販売,2208,アタックス花立店,熊本市東区花立5丁目9-18,株式会社マルミヤストア,令和5年3月1日～令和11年2月28日
店舗販売,2209,ＨＩヒロセ田崎市場通り店,熊本市西区上代1丁目557,株式会社ホームインプルーブメントひろせ,令和5年2月21日～令和11年2月20日
店舗販売,2224,漢方一凛,熊本市中央区新大江1丁目6-24,合同会社一凛,令和5年5月16日～令和11年5月15日
店舗販売,2234,ドラッグストアモリ京町店,熊本市中央区京町2丁目14番7号,株式会社ドラッグストアモリ,令和5年6月5日～令和11年6月4日
店舗販売,2235,ドラッグストアモリ城南店,熊本市南区城南町阿高306番地1,株式会社ドラッグストアモリ,令和5年6月5日～令和11年6月4日
店舗販売,2244,ドラッグストアモリ本荘店,熊本市中央区本荘町737-7,株式会社ナチュラルホールディングス,令和5年7月14日～令和11年7月13日
店舗販売,2248,ウエルシアプラス熊本島町店,熊本市南区島町3丁目11番48号,イオンウエルシア九州株式会社,令和5年7月14日～令和11年7月13日
店舗販売,2257,ドラッグイレブン月出店,熊本市東区月出1丁目5番17号,株式会社ドラッグイレブン,令和5年9月21日～令和11年9月20日
店舗販売,2259,株式会社メニコン　MeniconMiru熊本店,熊本市中央区上通町1-26auneKUMAMOTO 2階,株式会社メニコン,令和5年10月6日～令和11年10月5日
店舗販売,2296,くすりのタケハ,熊本市中央区呉服町3丁目1番1号,福田　攝,令和6年1月1日～令和11年12月31日
店舗販売,2297,ドラッグセイムス熊本龍田店,熊本市北区龍田九丁目4番39号,株式会社九州セイムス,令和5年12月6日～令和11年12月5日
店舗販売,2304,有限会社渡部晴光堂,熊本市中央区水前寺2丁目16番24号,有限会社渡部晴光堂,令和6年1月1日～令和11年12月31日
店舗販売,2306,スーパーセンタートライアル尾ノ上店,熊本市東区尾ノ上四丁目18番115号,株式会社トライアルストアーズ,令和6年1月24日～令和12年1月23日
店舗販売,2307,ダイレックス野中店,熊本市西区野中二丁目9番11号,ダイレックス株式会社,令和6年1月23日～令和12年1月22日
店舗販売,2319,スーパーキッド植木店,熊本市北区植木町岩野1113-1,株式会社アレス,令和6年4月11日～令和12年4月10日
店舗販売,2328,漢方　MUSÉ,熊本市中央区安政町2-38藤田ビル201,甲斐　あゆみ,令和6年4月25日～令和12年4月24日
