施設区分,施設正式名称,郵便番号,所在地,電話番号,開設者名,管理者氏名,精神病床数,結核病床数,感染症病床数,一般病床数,療養病床数,内科,呼吸器内科,循環器内科,消化器内科,心臓内科,血液内科,気管食道内科,胃腸内科,腫瘍内科,糖尿病内科,代謝内科,内分泌内科,脂質代謝内科,腎臓内科,神経内科,心療内科,感染症内科,漢方内科,老年内科,女性内科,新生児内科,性感染症内科,内視鏡内科,人工透析内科,疼痛緩和内科,ペインクリニック内科,アレルギー疾患内科,内科（ペインクリニック）,内科（循環器）,内科（薬物療法）,内科（感染症）,内科（骨髄移植）,外科,呼吸器外科,心臓血管外科,心臓外科,消化器外科,乳腺外科,小児外科,気管食道外科,肛門外科,整形外科,脳神経外科,形成外科,美容外科,腫瘍外科,移植外科,頭頚部外科,胸部外科,腹部外科,肝臓外科,膵臓外科,胆のう外科,食道外科,胃腸外科,大腸外科,内視鏡外科,ペインクリニック外科,外科（内視鏡）,外科（がん）,精神科,アレルギー科,リウマチ科,小児科,皮膚科,泌尿器科,産婦人科,産科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,放射線診断科,放射線治療科,病理診断科,臨床検査科,救急科,児童精神科,老年精神科,気管食道・耳鼻咽喉科,腫瘍放射線科,男性泌尿器科,神経泌尿器科,小児泌尿器科,小児科（新生児）,泌尿器科（不妊治療）,泌尿器科（人工透析）,泌尿器科（生殖医療）,美容皮膚科,歯科,小児歯科,矯正歯科,歯科口腔外科,神経科,呼吸器科,消化器科,胃腸科,循環器科,皮膚泌尿器科,性病科,こう門科,気管食道科,麻酔科,診療科目その他,開設年月日
病院,熊本第一病院,862-0965,熊本市南区田迎町田井島２２４ ,096-370-7333,特定医療法人  萬生会,坂本　泰雄,0,0,0,60,65,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消化器・肝臓内科 血液・腫瘍内科 糖尿病･代謝内科 緩和ケア内科,平成 14年12月01日
病院,熊本泌尿器科病院,860-0004,熊本市中央区新町４丁目７－２２ ,096-354-6781,医療法人　野尻会,井　秀隆,0,0,0,28,24,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,男性性感染症外科 泌尿器科（人工透析）,平成 14年01月01日
病院,田上心臓リハビリテーション病院,860-0842,熊本市中央区南千反畑町１０－３ ,096-354-5885,医療法人社団  大玄会,田上  貴一,0,0,0,0,45,○,○,○,○,,,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 14年01月01日
病院,北部病院,861-5515,熊本市北区四方寄町１２８１－３ ,096-245-1115,医療法人社団 原武会,渡邉　聖樹,0,0,0,0,50,○,,,,,,,,,,,,,,○,,,○,○,○,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,平成 12年10月01日
病院,くまもと成仁病院,861-8041,熊本市東区戸島２丁目3-15 ,096-380-7011,医療法人　成仁会,上原　昌哉,0,0,0,37,143,○,○,○,○,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,脳神経リハビリテーション科 整形リハビリテーション科 脳神経内科,平成 12年04月01日
病院,窪田病院,861-8038,熊本市東区長嶺東２丁目１１－９５ ,096-380-2038,医療法人　居中会,岡田　久則,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 11年05月01日
病院,本庄内科病院,862-0921,熊本市東区新外３丁目９番１号 ,096-368-2811,医療法人　弘生会,本庄　弘次,0,0,0,26,0,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 11年04月01日
病院,熊本中央病院,862-0965,熊本市南区田井島１丁目5-1 ,096-370-3111,国家公務員共済組合連合会,那須　二郎,0,0,0,361,0,○,○,○,○,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,○,○,○,,,,,,,,,,,,,,,,,○,,,○,○,○,,,,○,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,緩和ケア内科 乳腺・内分泌外科 糖尿病・内分泌・代謝内科 脳神経内科,平成 09年01月12日
病院,陣内病院,862-0976,熊本市中央区九品寺６丁目２－３ ,096-363-0011,医療法人社団　陣内会,陣内　秀昭,0,0,0,38,0,○,,○,○,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 09年01月01日
病院,帯山中央病院,862-0924,熊本市中央区帯山４丁目５－１８ ,096-382-6111,医療法人　祐基会,板井　典朗,0,0,0,0,76,○,○,,○,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,疼痛緩和外科,平成 08年06月01日
病院,済生会熊本病院,861-4193,熊本市南区近見５丁目３－１ ,096-351-8000,社会福祉法人　恩賜財団　済生会,中尾　浩一,0,0,0,400,0,○,○,○,○,,,,,○,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,,,○,○,,○,○,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,脳神経内科,平成 07年04月01日
病院,西村内科・脳神経外科病院,860-0812,熊本市中央区南熊本２丁目７－７ ,096-363-5111,医療法人　社団　知新会,濱武　諭,0,0,0,44,0,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年10月01日
病院,くまもと江津湖療育医療センター,862-0947,熊本市東区画図町大字重富５７５ ,096-370-0501,社会福祉法人　志友会,木下　裕俊,0,0,0,121,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年10月01日
病院,くまもと悠心病院,861-8030,熊本市東区小山町１８０８－２ ,096-389-1882,医療法人　明和会,宮内　大介,120,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年09月01日
病院,山口病院,860-0053,熊本市西区田崎３丁目１－１７ ,096-356-0666,医療法人　社団 芳仁会,山口　哲也,0,0,0,21,51,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,○,○,,,,,,,,,,,,,○,,,,,,,,,○,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,肛門内科,平成 06年01月01日
病院,鶴田病院,862-0925,熊本市東区保田窪本町１０－１１２ ,096-382-0500,医療法人社団　鶴友会,鶴田　豊,0,0,0,105,0,○,○,○,○,,,,,,,,,,○,○,,,,,,,,○,,,,,,,,,,○,,,,○,,,,,○,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,腎臓内科（人工透析） 緩和ケア内科,平成 05年12月01日
病院,自由が丘病院,861-8005,熊本市北区龍田陳内１丁目３番１０号 ,096-338-3111,医療法人社団　自由が丘,平原　信雄,135,0,0,0,0,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 05年05月01日
病院,川野病院,862-0971,熊本市中央区大江６丁目２５－１ ,096-366-3275,医療法人社団　杏風会,川野　尚,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,泌尿器科（男性不妊治療） 女性泌尿器科,平成 05年01月14日
病院,大塚病院,861-0106,熊本市北区植木町豊田６０３ ,096-272-0159,医療法人社団元照会,大塚　英二,0,0,0,32,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,○,,○,,平成 02年10月02日
病院,夢眠ホスピタルくまもと,861-4172,熊本市南区御幸笛田２丁目１５－６ ,096-378-0345,医療法人社団　御幸会,宮田　高雄,0,0,0,41,119,○,,○,○,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 01年08月01日
病院,西日本病院,861-8034,熊本市東区八反田３－２０－１ ,096-380-1111,医療法人財団　聖十字会,有馬　寿之,0,0,0,395,130,○,○,○,○,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○,○,,,,○,○,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,平成 01年05月01日
病院,比企病院,862-0913,熊本市東区尾ノ上３丁目１－３４ ,096-381-5151,医療法人社団　仁風会,比企　裕,0,0,0,0,44,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 63年10月01日
病院,悠愛病院,862-0945,熊本市東区画図町下無田１１３９ ,096-378-3355,医療法人社団　悠愛会,田代　尊久,0,0,0,0,56,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 63年06月01日
病院,整形外科　井上病院,860-0816,熊本市中央区本荘町６４４ ,096-364-5511,医療法人社団 藤浪会,井上　裕久,0,0,0,48,34,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 62年04月01日
病院,社会医療法人　愛育会　福田病院,860-0004,熊本市中央区新町２丁目２－６ ,096-322-2995,社会医療法人　愛育会,河上　祥一,0,0,0,161,0,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 60年01月31日
病院,朝日野総合病院,861-8072,熊本市北区室園町１２番１０号 ,096-344-3000,医療法人　朝日野会,清川　哲志,0,0,0,275,103,○,○,○,○,,○,,,,,,,,○,○,○,,,,,,,,○,,○,,,,,,,○,○,○,,○,,○,,○,○,○,○,,,,,,,,,,,,,,,,,,,○,,○,○,,,○,○,○,○,○,,,,,○,,,,,,,,,,,,,○,○,,○,,,,,,,,,,○,糖尿病・代謝内科 乳腺・内分泌外科  血管外科,昭和 59年05月31日
病院,御幸病院,861-4172,熊本市南区御幸笛田６丁目７－４０ ,096-378-1166,医療法人　博光会,西上　和宏,0,0,0,97,89,○,○,○,○,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整形リハビリテーション科 緩和ケア内科,昭和 57年12月15日
病院,医療法人社団　上野会　熊本博愛病院,861-8003,熊本市北区楠６丁目６番６０号 ,096-338-7117,医療法人社団　上野会,上野　博久,0,0,0,0,26,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 57年11月15日
病院,熊本機能病院,860-8518,熊本市北区山室６丁目８番１号 ,096-345-8111,社会医療法人　寿量会,中島　英親,0,0,0,395,0,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,○,○,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,○,○,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,小児形成外科 血管外科 脳神経内科,昭和 57年03月31日
病院,一般社団法人 熊本市医師会 熊本地域医療センター,860-0811,熊本市中央区本荘5丁目16-10 ,096-363-3311,一般社団法人　熊本市医師会,杉田　裕樹,0,0,0,227,0,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,,,,,,,,○,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,糖尿病代謝内科,昭和 56年11月01日
病院,ひかりテラス病院,861-4211,熊本市南区城南町今吉野１０２０ ,0964-28-6000,医療法人社団　井上会,木村　竜也,0,0,0,8,96,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 56年01月01日
病院,成尾整形外科病院,862-0958,熊本市中央区岡田町１２－２４ ,096-371-1188,医療法人社団   誠療会,藤本　徹,0,0,0,103,0,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 55年11月29日
病院,出田眼科病院,860-0027,熊本市中央区西唐人町３９番地 ,096-325-5222,医療法人　出田会,出田　真二,0,0,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 55年11月20日
病院,ニキ　ハーティー　ホスピタル,862-0920,熊本市東区月出４丁目６－１００ ,096-384-3111,医療法人　仁木会,仁木　啓介,200,0,0,0,0,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,昭和 55年05月31日
病院,医療法人　聖粒会　慈恵病院,860-0073,熊本市西区島崎６丁目１番２７号 ,096-355-6131,医療法人　聖粒会,蓮田　健,0,0,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,内視鏡婦人科,昭和 53年04月01日
病院,くまもと成城病院,861-8072,熊本市北区室園町１０－１７ ,096-344-3311,医療法人　山部会,増田　武信,0,0,0,84,49,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,昭和 53年03月31日
病院,武蔵ヶ丘病院,861-8003,熊本市北区楠７丁目１５番１号 ,096-339-1161,医療法人　田中会,水流添　周,0,0,0,85,60,○,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,昭和 52年10月14日
病院,くまもと在宅支援病院,862-0922,熊本市東区三郎１丁目１２－２５ ,096-383-5555,医療法人　桜十字,三浦　正毅,0,0,0,57,0,○,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緩和ケア内科,昭和 52年04月13日
病院,水前寺とうや病院,862-0950,熊本市中央区水前寺５丁目２－２２ ,096-384-2288,医療法人　清和会,今村　重洋,0,0,0,94,48,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科,昭和 51年06月30日
病院,熊本県立こころの医療センター,861-4154,熊本市南区富合町平原３９１ ,096-357-2151,熊本県,西　良知,190,10,0,0,0,○,○,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 50年11月01日
病院,あきた病院,861-4121,熊本市南区会富町１１２０ ,096-227-1611,医療法人むすびの森,鶴崎　成幸,0,0,0,42,85,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科 糖尿病・代謝内科,昭和 48年07月16日
