施設区分,施設正式名称,郵便番号,所在地,電話番号,開設者名,管理者氏名,精神病床数,結核病床数,感染症病床数,一般病床数,療養病床数,内科,呼吸器内科,循環器内科,消化器内科,心臓内科,血液内科,気管食道内科,胃腸内科,腫瘍内科,糖尿病内科,代謝内科,内分泌内科,脂質代謝内科,腎臓内科,神経内科,心療内科,感染症内科,漢方内科,老年内科,女性内科,新生児内科,性感染症内科,内視鏡内科,人工透析内科,疼痛緩和内科,ペインクリニック内科,アレルギー疾患内科,内科（ペインクリニック）,内科（循環器）,内科（薬物療法）,内科（感染症）,内科（骨髄移植）,外科,呼吸器外科,心臓血管外科,心臓外科,消化器外科,乳腺外科,小児外科,気管食道外科,肛門外科,整形外科,脳神経外科,形成外科,美容外科,腫瘍外科,移植外科,頭頚部外科,胸部外科,腹部外科,肝臓外科,膵臓外科,胆のう外科,食道外科,胃腸外科,大腸外科,内視鏡外科,ペインクリニック外科,外科（内視鏡）,外科（がん）,精神科,アレルギー科,リウマチ科,小児科,皮膚科,泌尿器科,産婦人科,産科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,放射線診断科,放射線治療科,病理診断科,臨床検査科,救急科,児童精神科,老年精神科,気管食道・耳鼻咽喉科,腫瘍放射線科,男性泌尿器科,神経泌尿器科,小児泌尿器科,小児科（新生児）,泌尿器科（不妊治療）,泌尿器科（人工透析）,泌尿器科（生殖医療）,美容皮膚科,歯科,小児歯科,矯正歯科,歯科口腔外科,神経科,呼吸器科,消化器科,胃腸科,循環器科,皮膚泌尿器科,性病科,こう門科,気管食道科,麻酔科,診療科目その他,開設年月日,"千葉県/成田市/所","140.45662","35.85686","3","5"
病院,くまもと乳腺・胃腸外科病院,860-0812,熊本市中央区南熊本4丁目3-5 ,096-366-1155,医療法人社団　世安会,澤田　俊彦,0,0,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○,,○,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,乳腺内科 がん化学療法内科,平成 23年01月01日,"熊本県/熊本市/中央区/南熊本/四丁目/３番","130.70940","32.79013","5","7"
病院,熊本脳神経外科病院,860-0811,熊本市中央区本荘６丁目１−２１ ,096-372-3911,医療法人　熊愛会,冬田　修平,0,0,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 22年07月01日,"熊本県/熊本市/中央区/本荘/六丁目/１番","130.70874","32.79333","5","7"
病院,熊本市立植木病院,861-0136,熊本市北区植木町岩野２８５−２９ ,096-273-2111,熊本市,掃本　誠治,0,0,0,102,39,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 22年03月23日,"熊本県/熊本市/北区/植木町岩野/２８５番地","130.70049","32.90321","5","7"
病院,伊東歯科口腔病院,861-0851,熊本市中央区子飼本町４番１４号 ,096-343-0377,医療法人　伊東会,伊東　隆三,0,0,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,○,,平成 21年05月01日,"熊本県/熊本市/中央区/子飼本町/４番","130.72249","32.81363","5","7"
病院,十善病院,860-0812,熊本市中央区南熊本３丁目６−３４ ,096-372-2688,医療法人　朝日野会,山﨑　洋二,0,0,0,138,40,○,○,○,○,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小児リハビリテーション科 糖尿病・代謝内科,平成 20年12月01日,"熊本県/熊本市/中央区/南熊本/三丁目/６番","130.71336","32.78654","5","7"
病院,保田窪整形外科病院,862-0926,熊本市東区保田窪５丁目７−２７ ,096-381-8711,医療法人　保田窪会,河野　正通,0,0,0,39,0,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,平成 19年10月01日,"熊本県/熊本市/東区/保田窪/五丁目/７番","130.75363","32.81312","5","7"
病院,イエズスの聖心病院,860-0079,熊本市西区上熊本2丁目11-24 ,096-352-7181,社会福祉法人　聖嬰会,木村　哲也,0,0,0,37,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緩和ケア内科,平成 16年04月01日,"熊本県/熊本市/西区/上熊本/二丁目/１１番","130.69968","32.81270","5","7"
病院,嶋田病院,860-0017,熊本市中央区練兵町２４番地 ,096-324-3515,医療法人社団 如水会,池田　拡行,0,0,0,48,0,○,○,,,,,,,,,○,,,○,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 15年06月16日,"熊本県/熊本市/中央区/練兵町/２４番地","130.70213","32.79826","5","7"
病院,サキサカ病院,860-0004,熊本市中央区新町２丁目１０番２７号 ,096-326-0303,医療法人　匂坂会,匂坂　正明,0,0,0,0,59,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,,,,○,,,,,,,,,,,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,平成 15年06月01日,"熊本県/熊本市/中央区/新町/二丁目/１０番","130.69872","32.79820","5","7"
病院,熊本第一病院,862-0965,熊本市南区田迎町田井島２２４ ,096-370-7333,特定医療法人  萬生会,坂本　泰雄,0,0,0,60,65,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消化器・肝臓内科 血液・腫瘍内科 糖尿病・代謝内科 緩和ケア内科,平成 14年12月01日,"熊本県/熊本市/南区/田迎町/田井島/２２４番地","130.72701","32.76704","5","7"
病院,熊本泌尿器科病院,860-0004,熊本市中央区新町４丁目７−２２ ,096-354-6781,医療法人　野尻会,井　秀隆,0,0,0,28,24,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,男性性感染症外科 泌尿器科（人工透析）,平成 14年01月01日,"熊本県/熊本市/中央区/新町/四丁目/７番","130.69492","32.79913","5","7"
病院,田上心臓リハビリテーション病院,860-0842,熊本市中央区南千反畑町１０−３ ,096-354-5885,医療法人社団  大玄会,田上  貴一,0,0,0,0,45,○,○,○,○,,,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 14年01月01日,"熊本県/熊本市/中央区/南千反畑町/１０番","130.71516","32.80772","5","7"
病院,北部病院,861-5515,熊本市北区四方寄町１２８１−３ ,096-245-1115,医療法人社団 原武会,渡邉　聖樹,0,0,0,0,50,○,,,,,,,,,,,,,,○,,,○,○,○,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,平成 12年10月01日,"熊本県/熊本市/北区/四方寄町/１２８１番地","130.70805","32.86522","5","7"
病院,くまもと成仁病院,861-8041,熊本市東区戸島２丁目3-15 ,096-380-7011,医療法人　成仁会,上原　昌哉,0,0,0,37,143,○,○,○,○,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,脳神経リハビリテーション科 整形リハビリテーション科 脳神経内科,平成 12年04月01日,"熊本県/熊本市/東区/戸島/二丁目/３番","130.79312","32.81675","5","7"
病院,窪田病院,861-8038,熊本市東区長嶺東２丁目１１−９５ ,096-380-2038,医療法人　居中会,岡田　久則,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 11年05月01日,"熊本県/熊本市/東区/長嶺東/二丁目/１１番","130.77347","32.81811","5","7"
病院,本庄内科病院,862-0921,熊本市東区新外３丁目９番１号 ,096-368-2811,医療法人　弘生会,本庄　弘次,0,0,0,26,0,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 11年04月01日,"熊本県/熊本市/東区/新外/三丁目/９番","130.76363","32.79724","5","7"
病院,熊本中央病院,862-0965,熊本市南区田井島１丁目5-1 ,096-370-3111,国家公務員共済組合連合会,那須　二郎,0,0,0,361,0,○,○,○,○,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,○,○,○,,,,,,,,,,,,,,,,,○,,,○,○,○,,,,○,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,緩和ケア内科 乳腺・内分泌外科 糖尿病・内分泌・代謝内科 脳神経内科,平成 09年01月12日,"熊本県/熊本市/南区/田井島/一丁目/５番","130.72479","32.77021","5","7"
病院,陣内病院,862-0976,熊本市中央区九品寺６丁目２−３ ,096-363-0011,医療法人社団　陣内会,陣内　秀昭,0,0,0,38,0,○,,○,○,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 09年01月01日,"熊本県/熊本市/中央区/九品寺/六丁目/２番","130.71736","32.78963","5","7"
病院,帯山中央病院,862-0924,熊本市中央区帯山４丁目５−１８ ,096-382-6111,医療法人　祐基会,板井　典朗,0,0,0,0,76,○,○,,○,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,疼痛緩和外科,平成 08年06月01日,"熊本県/熊本市/中央区/帯山/四丁目/５番","130.74962","32.80013","5","7"
病院,済生会熊本病院,861-4193,熊本市南区近見５丁目３−１ ,096-351-8000,社会福祉法人　恩賜財団　済生会,中尾　浩一,0,0,0,400,0,○,○,○,○,,,,,○,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,,,○,○,,○,○,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,脳神経内科,平成 07年04月01日,"熊本県/熊本市/南区/近見/五丁目/３番","130.70117","32.76564","5","7"
病院,西村内科・脳神経外科病院,860-0812,熊本市中央区南熊本２丁目７−７ ,096-363-5111,医療法人　社団　知新会,濱武　諭,0,0,0,44,0,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年10月01日,"熊本県/熊本市/中央区/南熊本/二丁目/７番","130.71355","32.78922","5","7"
病院,くまもと江津湖療育医療センター,862-0947,熊本市東区画図町大字重富５７５ ,096-370-0501,社会福祉法人　志友会,木下　裕俊,0,0,0,121,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年10月01日,"熊本県/熊本市/東区/画図町/重富/５７５番地","130.72923","32.75769","5","7"
病院,くまもと悠心病院,861-8030,熊本市東区小山町１８０８−２ ,096-389-1882,医療法人　明和会,宮内　大介,120,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 06年09月01日,"熊本県/熊本市/東区/小山町/１８０８番地","130.80858","32.82899","5","7"
病院,山口病院,860-0053,熊本市西区田崎３丁目１−１７ ,096-356-0666,医療法人　社団 芳仁会,山口　哲也,0,0,0,21,51,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,○,○,,,,,,,,,,,,,○,,,,,,,,,○,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,肛門内科,平成 06年01月01日,"熊本県/熊本市/西区/田崎/三丁目/１番","130.68224","32.78184","5","7"
病院,鶴田病院,862-0925,熊本市東区保田窪本町１０−１１２ ,096-382-0500,医療法人社団　鶴友会,鶴田　豊,0,0,0,105,0,○,○,○,○,,,,,,,,,,○,○,,,,,,,,○,,,,,,,,,,○,,,,○,,,,,○,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,腎臓内科（人工透析） 緩和ケア内科,平成 05年12月01日,"熊本県/熊本市/東区/保田窪本町/１０番","130.74750","32.80817","5","7"
病院,自由が丘病院,861-8005,熊本市北区龍田陳内１丁目３番１０号 ,096-338-3111,医療法人社団　自由が丘,平原　信雄,135,0,0,0,0,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 05年05月01日,"熊本県/熊本市/北区/龍田陳内/一丁目/３番","130.74478","32.82293","5","7"
病院,川野病院,862-0971,熊本市中央区大江６丁目２５−１ ,096-366-3275,医療法人社団　杏風会,川野　尚,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,泌尿器科（男性不妊治療） 女性泌尿器科,平成 05年01月14日,"熊本県/熊本市/中央区/大江/六丁目/２５番","130.72542","32.79542","5","7"
病院,大塚病院,861-0106,熊本市北区植木町豊田６０３ ,096-272-0159,医療法人社団元照会,大塚　英二,0,0,0,32,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,○,,○,,平成 02年10月02日,"熊本県/熊本市/北区/植木町豊田/６０３番地","130.70616","32.94079","5","7"
病院,夢眠ホスピタルくまもと,861-4172,熊本市南区御幸笛田２丁目１５−６ ,096-378-0345,医療法人社団　御幸会,宮田　高雄,0,0,0,41,119,○,,○,○,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 01年08月01日,"熊本県/熊本市/南区/御幸笛田/二丁目/１５番","130.70970","32.76348","5","7"
病院,西日本病院,861-8034,熊本市東区八反田３−２０−１ ,096-380-1111,医療法人財団　聖十字会,有馬　寿之,0,0,0,395,130,○,○,○,○,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○,○,,,,○,○,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,平成 01年05月01日,"熊本県/熊本市/東区/八反田/三丁目/２０番","130.77081","32.82138","5","7"
病院,比企病院,862-0913,熊本市東区尾ノ上３丁目１−３４ ,096-381-5151,医療法人社団　仁風会,比企　裕,0,0,0,0,44,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 63年10月01日,"熊本県/熊本市/東区/尾ノ上/三丁目/１番","130.75424","32.79578","5","7"
病院,悠愛病院,862-0945,熊本市東区画図町下無田１１３９ ,096-378-3355,医療法人社団　悠愛会,田代　尊久,0,0,0,0,56,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 63年06月01日,"熊本県/熊本市/東区/画図町/下無田/１１３９番地","130.73511","32.75692","5","7"
病院,整形外科　井上病院,860-0816,熊本市中央区本荘町６４４ ,096-364-5511,医療法人社団 藤浪会,井上　裕久,0,0,0,48,34,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 62年04月01日,"熊本県/熊本市/中央区/本荘町/６４４番地","130.70200","32.78924","5","7"
病院,社会医療法人　愛育会　福田病院,860-0004,熊本市中央区新町２丁目２−６ ,096-322-2995,社会医療法人　愛育会,河上　祥一,0,0,0,167,0,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 60年01月31日,"熊本県/熊本市/中央区/新町/二丁目/２番","130.69873","32.80026","5","7"
病院,朝日野総合病院,861-8072,熊本市北区室園町１２番１０号 ,096-344-3000,医療法人　朝日野会,野村　一俊,0,0,0,275,103,○,○,○,○,,○,,,,,,,,○,○,○,,,,,,,,○,,○,,,,,,,○,○,○,,○,,○,,○,○,○,○,,,,,,,,,,,,,,,,,,,○,,○,○,,,○,○,○,○,○,,,,,○,,,,,,,,,,,,,○,○,,○,,,,,,,,,,○,糖尿病・代謝内科 乳腺・内分泌外科  血管外科,昭和 59年05月31日,"熊本県/熊本市/北区/室園町/１２番","130.72476","32.82331","5","7"
病院,御幸病院,861-4172,熊本市南区御幸笛田６丁目７−４０ ,096-378-1166,医療法人　博光会,西上　和宏,0,0,0,97,89,○,○,○,○,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整形リハビリテーション科 緩和ケア内科,昭和 57年12月15日,"熊本県/熊本市/南区/御幸笛田/六丁目/７番","130.71150","32.75929","5","7"
病院,医療法人社団　上野会　熊本博愛病院,861-8003,熊本市北区楠６丁目６番６０号 ,096-338-7117,医療法人社団　上野会,上野　博久,0,0,0,0,26,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 57年11月15日,"熊本県/熊本市/北区/楠/六丁目/６番","130.76283","32.85091","5","7"
病院,熊本機能病院,860-8518,熊本市北区山室６丁目８番１号 ,096-345-8111,社会医療法人　寿量会,中島　英親,0,0,0,395,0,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,○,○,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,○,○,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,小児形成外科 血管外科 脳神経内科,昭和 57年03月31日,"熊本県/熊本市/北区/山室/六丁目/８番","130.71892","32.84690","5","7"
病院,一般社団法人 熊本市医師会 熊本地域医療センター,860-0811,熊本市中央区本荘5丁目16-10 ,096-363-3311,一般社団法人　熊本市医師会,杉田　裕樹,0,0,0,227,0,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,,,,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,糖尿病代謝内科,昭和 56年11月01日,"熊本県/熊本市/中央区/本荘/五丁目/１６番","130.70834","32.79385","5","7"
